SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
511664,BGIL FL TEC ,XT,Q,1.17,1.17,1.16,1.17,1.17,1.12,5,6900,8071.00,
511672,SCANSTL     ,X ,Q,23.30,23.30,20.10,20.40,20.40,23.65,8,258,5522.00,
511676,GIC HOUSING ,A ,Q,187.75,188.35,171.00,172.95,171.50,187.85,418,11323,2051910.00,
511690,WARNER MULTI,XT,Q,0.93,0.93,0.93,0.93,0.93,0.93,1,1,0.00,
511696,CHARTERED CA,X ,Q,55.00,55.00,55.00,55.00,55.00,53.00,1,284,15620.00,
511712,RELIC TECHNO,X ,Q,14.00,14.00,14.00,14.00,14.00,13.50,1,1,14.00,
511724,BAID LEASING,X ,Q,54.00,59.00,48.90,55.00,55.00,54.00,5,6,314.00,
511726,VIPUL LTD   ,B ,Q,34.00,34.15,32.50,32.50,32.50,33.50,64,20793,699601.00,
511742,UGROCAP     ,X ,Q,183.50,190.00,183.50,189.00,189.00,177.00,6,481,91197.00,
511754,SHALIB.FINAN,X ,Q,65.30,67.95,65.00,65.25,65.25,70.05,6,510,33280.00,
511756,ABIRAMI FIN.,Z ,Q,7.13,7.13,7.13,7.13,7.13,7.13,1,1,7.00,
511764,UPASANA FIN.,X ,Q,41.60,42.30,38.00,38.90,38.00,38.10,26,21717,864642.00,
511766,MUTHOOT CAP ,B ,Q,508.00,518.00,506.00,512.45,512.45,508.35,17,178,90904.00,
512018,CNI RES LTD ,X ,Q,2.04,2.19,2.03,2.15,2.15,2.13,6,10250,20877.00,
512048,LUHARUKA    ,X ,Q,0.43,0.43,0.42,0.42,0.42,0.42,3,550,232.00,
512068,DECCANGOLD  ,X ,Q,21.40,21.55,20.60,20.95,21.00,21.40,134,53534,1119473.00,
512070,UPL         ,A ,Q,540.05,542.00,527.75,536.20,532.95,540.05,1290,73858,39397601.00,
512093,CRANES SOFTW,X ,Q,0.94,1.10,0.92,1.00,1.00,1.02,28,13749,12922.00,
512105,PROAIMENT   ,X ,Q,0.54,0.54,0.54,0.54,0.54,0.56,6,4000,2160.00,
512131,SIGNET IND  ,B ,Q,23.10,24.00,22.45,23.25,23.25,23.25,31,1090,25192.00,
512161,8KMILES     ,B ,Q,54.60,55.85,54.15,54.35,54.15,56.95,302,35544,1940092.00,
512165,ABANSENT    ,XT,Q,48.00,48.20,48.00,48.20,48.20,47.50,2,150,7220.00,
512175,VAMA INDS   ,XT,Q,11.41,11.45,11.40,11.40,11.40,12.00,12,3900,44485.00,
512179,SUNTECK REAL,A ,Q,460.00,460.00,442.00,449.50,449.50,459.45,1413,34366,15427272.00,
512217,PRISM MEDI  ,X ,Q,24.50,29.55,24.35,27.00,27.00,26.90,33,15673,405106.00,
512229,VERITAS     ,XT,Q,40.90,40.90,40.90,40.90,40.90,41.70,2,23,940.00,
512237,JAI CORP LTD,A ,Q,73.20,74.70,71.50,72.50,72.50,71.85,1561,158812,11641438.00,
512247,ASHIRWAD CAP,X ,Q,3.20,3.20,3.08,3.18,3.20,3.13,88,61527,195331.00,
512257,SVARTCORP   ,X ,Q,4.10,4.10,3.67,3.77,3.77,3.80,19,5174,19363.00,
512267,MEDIA MATRIX,X ,Q,4.20,4.49,4.18,4.34,4.34,4.39,21,302350,1301717.00,
512289,SHIRPUR GOLD,B ,Q,14.45,14.70,14.25,14.65,14.65,14.05,87,4524,65682.00,
512296,BHAGYA INL  ,B ,Q,20.10,20.40,20.10,20.30,20.30,21.00,4,852,17245.00,
